Date,Nom,Clé du QCM,Note,Réponses
"2021-04-17 07:56:06",35,34;295;1408;1412;1473;1385;1386;1388;1452;1509;1510;1549;1550;1397;1401;1505;1506;1518;1537;1554,3,34;D;295;B;1408;0;1412;0;1473;0;1385;A;1386;B;1388;A;1452;B;1509;0;1510;A;1549;B;1550;B;1397;D;1401;A;1505;B;1506;D;1518;B;1537;B;1554;B
"2021-04-20 17:05:12",35,34;295;1408;1412;1473;1385;1386;1388;1452;1509;1510;1549;1550;1397;1401;1505;1506;1518;1537;1554,3,34;D;295;B;1408;0;1412;0;1473;0;1385;A;1386;B;1388;A;1452;B;1509;0;1510;A;1549;B;1550;B;1397;D;1401;A;1505;B;1506;D;1518;B;1537;B;1554;B
"2021-04-20 19:49:34",322092,1496;1547;2;70;122;666;217;313;323;1214;329;675;973;1319;721;1143;294;813;17;398;817;1326;1544;319;613;697;740;1299,8.81,1496;D;1547;A;2;A;70;C;122;B;666;B;217;A;313;C;323;D;1214;B;329;C;675;D;973;0;1319;A;721;B;1143;D;294;D;813;B;17;D;398;D;817;A;1326;A;1544;D;319;C;613;0;697;D;740;B;1299;D
"2021-04-22 21:47:19",322092,1496;1547;2;70;122;666;217;313;323;1214;329;675;973;1319;721;1143;294;813;17;398;817;1326;1544;319;613;697;740;1299,8.81,1496;D;1547;A;2;A;70;C;122;B;666;B;217;A;313;C;323;D;1214;B;329;C;675;D;973;0;1319;A;721;B;1143;D;294;D;813;B;17;D;398;D;817;A;1326;A;1544;D;319;C;613;0;697;D;740;B;1299;D
"2021-10-05 21:02:57",110099,295;296;1397;1398;1405;1407;1408;1409;1443;1444;1445;1446;1447;1469;1470;1504;1506;1511;1571;1663;1677;1693;1694,19.13,295;A;296;A;1397;C;1398;C;1405;D;1407;C;1408;C;1409;C;1443;D;1444;A;1445;A;1446;A;1447;A;1469;C;1470;A;1504;C;1506;D;1511;D;1571;B;1663;B;1677;B;1693;C;1694;B
"2021-10-05 21:14:02",110099,295;296;1397;1398;1405;1407;1408;1409;1443;1444;1445;1446;1447;1469;1470;1504;1506;1511;1571;1663;1677;1693;1694,20,295;A;296;A;1397;C;1398;C;1405;D;1407;C;1408;C;1409;C;1443;A;1444;A;1445;A;1446;A;1447;A;1469;C;1470;A;1504;C;1506;D;1511;D;1571;B;1663;B;1677;B;1693;C;1694;B
"2021-10-05 21:21:29",119114,295;296;1397;1398;1405;1407;1408;1409;1443;1444;1445;1446;1447;1469;1470;1504;1506;1511;1571;1663;1677;1693;1694,17.39,295;A;296;A;1397;C;1398;C;1405;D;1407;C;1408;C;1409;C;1443;A;1444;A;1445;A;1446;A;1447;A;1469;A;1470;C;1504;A;1506;D;1511;D;1571;B;1663;B;1677;B;1693;C;1694;B
"2021-10-05 21:43:12",119114,295;296;1397;1398;1405;1407;1408;1409;1443;1444;1445;1446;1447;1469;1470;1504;1506;1511;1571;1663;1677;1693;1694,20,295;A;296;A;1397;C;1398;C;1405;D;1407;C;1408;C;1409;C;1443;A;1444;A;1445;A;1446;A;1447;A;1469;C;1470;A;1504;C;1506;D;1511;D;1571;B;1663;B;1677;B;1693;C;1694;B
"2021-10-05 22:02:28",112101,295;296;1397;1398;1405;1407;1408;1409;1443;1444;1445;1446;1447;1469;1470;1504;1506;1511;1571;1663;1677;1693;1694,14.78,295;A;296;A;1397;C;1398;C;1405;D;1407;C;1408;B;1409;C;1443;D;1444;A;1445;B;1446;B;1447;C;1469;C;1470;A;1504;C;1506;D;1511;D;1571;C;1663;B;1677;B;1693;C;1694;B
"2021-10-06 16:16:59",226096,1;6;12;13;14;18;19;20;21;22;26;27;41;42;43;44;46;49;59;60;62;64;66;69;72;90,19.23,1;B;6;D;12;A;13;A;14;C;18;B;19;D;20;A;21;D;22;C;26;D;27;C;41;D;42;D;43;B;44;C;46;B;49;A;59;A;60;A;62;C;64;A;66;A;69;C;72;D;90;A
